nx,ny,result_directory,h_diagonal_mm,h_over_ell,displacement_mm,discrete_reaction_N_per_mm,traction_reaction_N_per_mm,traction_minus_discrete_N_per_mm,reaction_crosscheck_relative_pct,maximum_damage,regularised_crack_length_mm,damage_kkt_relative
184,92,ijss_recalc_s1GPa_hom_noH_184x92,0.000740848072158384,0.493898714772256,3.9999999999999996e-05,16.36628633643449,16.334370449566073,-0.0319158868684184,0.195009950408649,1.0,0.024666190515881765,1.61531547009905e-07
276,138,ijss_recalc_s1GPa_hom_noH_u70_276x138,0.0004938987147722559,0.3292658098481706,3.9999999999999996e-05,15.976432102017757,15.950724372424755,-0.025707729593001716,0.16091032984614215,1.0,0.02506340946667023,7.458125366937989e-07
368,184,ijss_recalc_s1GPa_hom_noH_u40_368x184,0.000370424036079192,0.246949357386128,4e-05,15.75594423857844,15.734132773814947,-0.02181146476349305,0.13843324419800662,1.0,0.02474812320371045,4.242786106159547e-07
460,230,ijss_recalc_s1GPa_hom_noH_u40_460x230,0.00029633922886335357,0.19755948590890238,4e-05,15.535595806683,15.516629778656753,-0.018966028026246917,0.12208111141825817,1.0,0.02498264350110706,2.7584016239695227e-07
