case,step,control_phase,subdivision_level,displacement,displacement_um,reaction_y,fracture_energy,regularised_crack_length,relative_crack_change_percent,path_increment,control_residual_relative,mechanical_residual_relative,energy_balance_relative
EBSD graph hybrid path,5,displacement,1,9.000000000000002e-06,0.009000000000000001,3.8415908771599376,0.0003891319941978,0.0244352889311087,0.005811717253196423,1.0000000000000006e-06,0.0,,3.483842757807898e-05
EBSD graph hybrid path,6,displacement,1,1.0000000000000004e-05,0.010000000000000004,4.266718485774754,0.0003891397598373,0.0244359464264128,0.00850263495718913,1.0000000000000006e-06,0.0,,3.030560469032316e-05
EBSD graph hybrid path,7,displacement,0,1.2000000000000002e-05,0.012000000000000002,5.115191994789108,0.0003891645386175,0.0244379771421696,0.016813704173441385,1.9999999999999995e-06,0.0,,3.497413383146705e-05
EBSD graph hybrid path,8,displacement,1,1.3e-05,0.013,5.538386968743998,0.0003891830280716,0.0244394620950799,0.022891140850182047,9.99999999999999e-07,0.0,,3.1563582468356204e-05
EBSD graph hybrid path,9,displacement,2,1.35e-05,0.0135,5.74968761996278,0.0003891941791049,0.0244403511614791,0.02652980488125253,5.000000000000003e-07,0.0,,2.949221840070785e-05
EBSD graph hybrid path,10,displacement,2,1.4e-05,0.014,5.960775385376745,0.0003892067675989,0.0244413506013068,0.030620192005934854,5.000000000000003e-07,0.0,,2.7642709699861417e-05
EBSD graph hybrid path,11,displacement,1,1.5000000000000002e-05,0.015000000000000003,6.382262101297112,0.000389236827402,0.0244437253923595,0.04033945121148603,1.0000000000000006e-06,0.0,,2.5736378002401145e-05
EBSD graph hybrid path,12,displacement,8,1.5007812500000005e-05,0.015007812500000006,6.385551312869144,0.0003892370890241,0.0244437460270151,0.04042390224821523,7.812500000001037e-09,0.0,,2.570960636553624e-05
EBSD graph hybrid path,13,displacement,8,1.5015625000000002e-05,0.015015625000000003,6.3888402981153245,0.0003892373523439,0.0244437667732285,0.040508809855281956,7.812499999999343e-09,0.0,,2.568286275763512e-05
EBSD graph hybrid path,14,displacement,8,1.5023437500000002e-05,0.015023437500000002,6.392129220015352,0.0003892376161393,0.0244437875557998,0.040593866263586305,7.812499999999343e-09,0.0,,2.5656160728673555e-05
EBSD graph hybrid path,15,displacement,8,1.5031250000000005e-05,0.015031250000000005,6.3954180802741085,0.0003892378803977,0.0244438083740578,0.0406790687261249,7.812500000001037e-09,0.0,,2.562950007665366e-05
