case,step,subdivision_level,displacement,displacement_um,load_increment,reaction_y
Homogeneous displacement,1,0,2.0000000000000003e-06,0.0020000000000000005,2.0000000000000003e-06,0.855123728370931
Homogeneous displacement,2,0,4.000000000000001e-06,0.004000000000000001,2.0000000000000003e-06,1.7099493664822718
Homogeneous displacement,3,0,6.000000000000001e-06,0.006000000000000001,2.0000000000000003e-06,2.5641743659939475
Homogeneous displacement,4,0,8.000000000000001e-06,0.008000000000000002,2.0000000000000003e-06,3.4174864551448967
Homogeneous displacement,5,0,1.0000000000000004e-05,0.010000000000000004,2.000000000000001e-06,4.269556894670672
Homogeneous displacement,6,0,1.2000000000000002e-05,0.012000000000000002,1.9999999999999995e-06,5.120036923897464
Homogeneous displacement,7,0,1.4e-05,0.014,1.9999999999999995e-06,5.96854602629471
Homogeneous displacement,8,0,1.6000000000000003e-05,0.016000000000000004,2.000000000000001e-06,6.814660700068249
Homogeneous displacement,9,0,1.8000000000000004e-05,0.018000000000000002,2.000000000000001e-06,7.65790560042524
Homogeneous displacement,10,0,2.0000000000000005e-05,0.020000000000000004,2.000000000000001e-06,8.497724359442353
Homogeneous displacement,11,0,2.2000000000000003e-05,0.022000000000000002,1.999999999999998e-06,9.333459873156254
Homogeneous displacement,12,0,2.4000000000000004e-05,0.024000000000000004,2.000000000000001e-06,10.164300628453551
Homogeneous displacement,13,0,2.6000000000000005e-05,0.026000000000000006,2.000000000000001e-06,10.989222622458922
Homogeneous displacement,14,0,2.8000000000000003e-05,0.028000000000000004,1.999999999999998e-06,11.806871817176257
Homogeneous displacement,15,2,2.85e-05,0.0285,4.999999999999986e-07,12.009943735077012
Homogeneous displacement,16,4,2.8625e-05,0.028625,1.2499999999999965e-07,12.06061859256307
Homogeneous displacement,17,4,2.875e-05,0.02875,1.2499999999999965e-07,12.111255424697111
Homogeneous displacement,18,3,2.9000000000000004e-05,0.029000000000000005,2.500000000000027e-07,12.212411090015925
Homogeneous displacement,19,3,2.925000000000001e-05,0.02925000000000001,2.500000000000027e-07,12.313406489595245
Homogeneous displacement,20,6,2.9281250000000007e-05,0.02928125000000001,3.125000000000076e-08,12.326019531434458
Homogeneous displacement,21,6,2.9312500000000008e-05,0.02931250000000001,3.125000000000076e-08,12.338629775403898
Homogeneous displacement,22,6,2.934375000000001e-05,0.02934375000000001,3.125000000000076e-08,12.35123740108731
Homogeneous displacement,23,6,2.937500000000001e-05,0.02937500000000001,3.125000000000076e-08,12.36384239796498
Homogeneous displacement,24,6,2.9406250000000007e-05,0.029406250000000005,3.124999999999737e-08,12.376444755025652
