case,status,checkpoint_generation,accepted_states,terminal_displacement_mm,terminal_reaction_N,terminal_fracture_energy_N_mm,terminal_regularised_crack_length_mm,terminal_relative_crack_change_percent,maximum_computed_reaction_N,displacement_at_maximum_computed_reaction_mm,minimum_accepted_increment,increment_type,terminal_control_residual_relative,terminal_mechanical_residual_relative,terminal_energy_balance_relative
Homogeneous displacement,partial,60,45,2.993750000000001e-05,12.590269267495152,0.000503179743687,0.0244937255040479,0.34175689400276865,12.590269267495152,2.993750000000001e-05,7.812499999997649e-09,displacement_mm,0.0,,3.662373435696606e-05
Homogeneous hybrid path,failed,30,20,3.6058564599985626e-05,14.961744335582196,0.0005063347996376,0.024647306953565,0.9709234317075496,14.961744335582196,3.6058564599985626e-05,1.9531250000561634e-09,fracture_energy_N_mm,3.4350313137576685e-07,1.4693229298116983e-10,0.0002471586351436
EBSD graph hybrid path,partial,27,16,1.5031250000000005e-05,6.3954180802741085,0.0003892378803977,0.0244438083740578,0.0406790687261249,6.3954180802741085,1.5031250000000005e-05,7.812499999999343e-09,displacement_mm,0.0,,2.562950007665366e-05
