nx,ny,representation,ell_over_hK,b_over_hK,homogeneous_reaction_N_per_mm,control_reaction_N_per_mm,graph_effect_pct,DG0_vs_CG1_difference_pct,homogeneous_difference_from_736_reference_pct,mean_Gc0_N_per_mm,minimum_Gc0_N_per_mm,crack_measure_increase_pct,reaction_crosscheck_relative_pct,wall_time_s,status
184,92,DG0,2.024706625246261,4.049413250492522,12.33523354175475,12.701396290574454,2.968429803783157,-0.11082908186139662,7.445970106119487,0.05619028231154208,0.012492759261591133,-1.0857613119252596,0.13577585212964993,29.92233663500008,matched_endpoint_complete
184,92,CG1,2.024706625246261,4.049413250492522,12.33523354175475,12.687319449682033,2.854310838424512,-0.11082908186139662,7.445970106119487,0.05619028231154134,0.012325999999999997,-1.035320665824846,0.137857115649055,29.586564197999905,matched_endpoint_complete
276,138,DG0,3.0370599378693917,6.074119875738783,12.052683761214738,12.416213482297566,3.0161724001475765,-0.05708057891562479,4.9848221132073,0.056190282311548996,0.012400184982380524,-1.1268276341412253,0.12148557853381083,75.37901242600003,matched_endpoint_complete
276,138,CG1,3.0370599378693917,6.074119875738783,12.052683761214738,12.409126235762471,2.957370172564877,-0.05708057891562479,4.9848221132073,0.0561902823115474,0.012325999999999997,-1.0979801240120657,0.12223521896071511,70.81209749900017,matched_endpoint_complete
368,184,DG0,4.049413250492522,8.098826500985044,11.871527961516847,12.177305988085303,2.5757259517029008,-0.03229991425871548,3.4068657191915284,0.05619028231154097,0.012367742797240126,-1.0498040456824786,0.11213927063165455,259.211405079,matched_endpoint_complete
368,184,CG1,4.049413250492522,8.098826500985044,11.871527961516847,12.17337272869213,2.542594080170235,-0.03229991425871548,3.4068657191915284,0.05619028231154701,0.012325999999999997,-1.0321902624441326,0.11246502970138089,135.9491464749999,matched_endpoint_complete
